feature,importance
credit_score,0.24698262
delinq_2yrs,0.20766707
dti_ratio,0.08606844
risk_score,0.034932017
loan_purpose_home_improvement,0.027433364
loan_purpose_debt_consolidation,0.027219793
inquiries_6mon,0.026835807
loan_purpose_car,0.02429536
annual_income,0.022950128
loan_purpose_small_business,0.02262228
util_bucket_medium,0.022468485
open_accounts,0.022313103
income_to_loan,0.021863148
home_ownership_MORTGAGE,0.02153084
revolving_util,0.020772425
util_bucket_high,0.020619003
loan_purpose_major_purchase,0.020165946
employment_length,0.020026915
loan_amount,0.020018319
loan_purpose_credit_card,0.019800128
util_bucket_low,0.019426418
home_ownership_OWN,0.019221887
home_ownership_RENT,0.013722861
util_bucket_very_high,0.01104362
